abate;abates;is abating:Verb
abdicate;abdicates;is abdicating:Verb
abet;abets;is abeting:Verb
abhor;abhors;is abhorring:Verb
abide;abides;is abiding:Verb
abode;abodes;is abiding:Verb
abort;aborts;is aborting:Verb
abought;aboughts;is aboughting:Verb
about-ship;about-ships;is about-shipping:Verb
abscise;abscises;is abscessing:Verb
absent;absents;is absenting:Verb
abstract;abstracts;is abstracting:Verb
abuse;abuses;is abusing:Verb
abut;abuts;is abuting:Verb
aby;abys;is abying:Verb
accelerate;accelerates;is accelerating:Verb
accent;accents;is accenting:Verb
accept;accepts;is accepting:Verb
acclimatize;acclimatizes;is acclimatizing:Verb
accompany;accompanies;is accompanying:Verb
accord;accords;is according:Verb
accrete;accretes;is accreting:Verb
accrue;accrues;is accruing:Verb
accumulate;accumulates;is accumulating:Verb
accuse;accuses;is accusing:Verb
acetify;acetifys;is acetifying:Verb
achieve;achieves;is achieveing:Verb
acidify;acidifys;is acidifying:Verb
acidulate;acidulates;is acidulateing:Verb
acquit;acquits;is acquiting:Verb
act out;act outs;is act outing:Verb
acuminate;acuminates;is acuminateing:Verb
ad-lib;ad-libs;is ad-libing:Verb
adapt;adapts;is adapting:Verb
add up;add ups;is add uping:Verb
addict;addicts;is addicting:Verb
addle;addles;is addling:Verb
address;addresss;is addressing:Verb
addrest;addrests;is addressing:Verb
add;adds;is adding:Verb
adjoin;adjoins;is adjoining:Verb
adjudicate;adjudicates;is adjudicating:Verb
admeasure;admeasures;is admeasureing:Verb
administer;administers;is administering:Verb
administrate;administrates;is administrating:Verb
admit;admits;is admiting:Verb
adsorb;adsorbs;is adsorbing:Verb
adulterate;adulterates;is adulterating:Verb
advance;advances;is advancing:Verb
adventure;adventures;is adventuring:Verb
advertise;advertises;is advertising:Verb
advise;advises;is advising:Verb
advocate;advocates;is advocating:Verb
verify;aeries;is verifying:Verb
affect;affects;is affecting:Verb
affiliate;affiliates;is affiliating:Verb
affirm;affirms;is affirming:Verb
affix;affixs;is affixing:Verb
afford;affords;is affording:Verb
age;ages;is aging:Verb
agglomerate;agglomerates;is agglomerating:Verb
agglutinate;agglutinates;is agglutinating:Verb
aggregate;aggregates;is aggregating:Verb
agonize;agonizes;is agonizing:Verb
agree;agrees;is agreeing:Verb
aid;aids;is aiding:Verb
aim;aims;is aimming:Verb
air-dry;air-drys;is air-drying:Verb
airdrop;airdrops;is airdroping:Verb
air;airs;is airing:Verb
align;aligns;is aligning:Verb
aliment;aliments;is alienating:Verb
aline;alines;is alineing:Verb
alit;alits;is aliting:Verb
alkalify;alkalizes;is alkalifying:Verb
allay;allays;is allaying:Verb
allegorize;allegorizes;is allegorizing:Verb
alliterate;alliterates;is alliterating:Verb
allot;allots;is alloting:Verb
alloy;alloys;is alloying:Verb
ally;allys;is allying:Verb
alternate;alternates;is alternating:Verb
alter;alters;is altering:Verb
amalgamate;amalgamates;is amalgamating:Verb
ambuscade;ambuscades;is ambuscading:Verb
ambush;ambushs;is ambushing:Verb
ameliorate;ameliorates;is ameliorating:Verb
Americanize;Americanizes;is Americanizing:Verb
ammoniate;ammoniates;is ammoniating:Verb
ammonify;ammonites;is ammonifying:Verb
amnesty;amnestys;is amnestying:Verb
amplify;amplifys;is amplifying:Verb
amputate;amputates;is amputateing:Verb
am;ams;is amming:Verb
anagrammatize;anagrammatizes;is anagrammatizeing:Verb
anathematize;anathematizes;is anathematizing:Verb
anchor;anchors;is anchoring:Verb
anchylose;anchyloses;is anchyloseing:Verb
angle;angles;is angling:Verb
anglicize;anglicizes;is anglicizeing:Verb
anguish;anguishs;is anguishing:Verb
angulate;angulates;is angulateing:Verb
animate;animates;is animating:Verb
ankylose;ankyloses;is ankyloseing:Verb
anneal;anneals;is annealing:Verb
annex;annexs;is annexing:Verb
annotate;annotates;is annotating:Verb
annoy;annoys;is annoying:Verb
annul;annuls;is annulling:Verb
anodize;anodizes;is anodizing:Verb
answer back;answer backs;is answer backing:Verb
answer;answers;is answering:Verb
Antalya;Antalyas;is Antalyaing:Verb
antedate;antedates;is antedating:Verb
anten;anteeds;is anteeding:Verb
anthropomorphize;anthropomorphizes;is anthropomorphizing:Verb
anticipate;anticipates;is anticipating:Verb
apostrophize;apostrophizes;is apostrophizing:Verb
appal;appals;is appalling:Verb
apparel;apparels;is appareling:Verb
applaud;applauds;is applauding:Verb
applique;appliques;is appliqueing:Verb
appliqud;appliquds;is appliqudông:Verb
apply;applys;is applying:Verb
appoint;appoints;is appointing:Verb
appreciate;appreciates;is appreciating:Verb
approach;approachs;is approaching:Verb
appropriate;appropriates;is appropriating:Verb
approve;approves;is approving:Verb
approximate;approximates;is approximating:Verb
arbitrate;arbitrates;is arbitrating:Verb
arc;arcs;is arcing:Verb
are;ares;is areing:Verb
argue;argues;is arguing:Verb
argufy;argues;is argufying:Verb
arise;arises;is ariseing:Verb
arm;arms;is armming:Verb
arose;aroses;is aroseing:Verb
articulate;articulates;is articulating:Verb
art;arts;is rating:Verb
ascend;ascends;is ascending:Verb
ask after;ask afters;is ask altering:Verb
ask for;ask fors;is ask foring:Verb
ask;asks;is asking:Verb
asphyxiate;asphyxiates;is asphyxiating:Verb
aspirate;aspirates;is aspirating:Verb
assay;assays;is assaying:Verb
assemble;assembles;is assembling:Verb
assibilate;assibilates;is assimilating:Verb
assign;assigns;is assigning:Verb
assist;assists;is assisting:Verb
associate;associates;is associating:Verb
astrict;astricts;is astricting:Verb
ate;ates;is anteing:Verb
atomize;atomizes;is atomizing:Verb
atrophy;atrophys;is atrophying:Verb
attacca;attaccas;is attaccaing:Verb
attach;attachs;is attaching:Verb
attack;attacks;is attacking:Verb
attend;attends;is attending:Verb
attenuate;attenuates;is attenuating:Verb
attract;attracts;is attracting:Verb
attribute;attributes;is attributing:Verb
audition;auditions;is auditioning:Verb
audit;audits;is auditing:Verb
augment;augments;is augmenting:Verb
augur;augurs;is auguring:Verb
auscultate;auscultates;is osculating:Verb
Australians;Australianizes;is Australianizeing:Verb
author;authors;is authoring:Verb
autolyse;autolyses;is autolyseing:Verb
automate;automates;is automating:Verb
automatize;automatizes;is automatizing:Verb
automotive;autotomizes;is autotomizeing:Verb
avail;avails;is availing:Verb
avalanche;avalanches;is avalanching:Verb
avenge;avenges;is avenging:Verb
aver;avers;is avering:Verb
aviate;aviates;is averting:Verb
awake;awakes;is awakeing:Verb
awoke;awokes;is awaking:Verb
azotize;azotizes;is azotizeing:Verb
a;as;is aing:Verb
baa;baas;is baaing:Verb
babble;babbles;is babbling:Verb
baby-sit;baby-sits;is baby-siting:Verb
baby;babys;is babying:Verb
bach;bachs;is baching:Verb
back down;back downs;is back downing:Verb
back up;back ups;is back uping:Verb
back-lit;back-lits;is back-liting:Verb
