about-facing;about-facings;is about-facing:V
aced;aceds;is acedding:V
acerbated;acerbateds;is acerbatedding:V
acetylated;acetylateds;is acetylatedding:V
ached;acheds;is achedding:V
achieved;achieveds;is achievedding:V
acidized;acidizeds;is acidizedding:V
acuminated;acuminateds;is acuminatedding:V
acupunctured;acupunctureds;is acupuncturedding:V
ad-libbed;ad-libbeds;is ad-libbedding:V
addled;addleds;is addledding:V
addressed;addresseds;is addressedding:V
adjudicated;adjudicateds;is adjudicatedding:V
admired;admireds;is admiredding:V
admitted;admitteds;is admittedding:V
adored;adoreds;is adoredding:V
adulterated;adulterateds;is adulteratedding:V
advertised;advertiseds;is advertisedding:V
advocated;advocateds;is advocatedding:V
affiliated;affiliateds;is affiliatedding:V
agglomerated;agglomerateds;is agglomeratedding:V
agglutinated;agglutinateds;is agglutinatedding:V
aggregated;aggregateds;is aggregatedding:V
agitated;agitateds;is agitatedding:V
agonized;agonizeds;is agonizedding:V
air-dried;air-drieds;is air-driedding:V
airdropped;airdroppeds;is airdroppedding:V
alkalified;alkalifieds;is alkalifiedding:V
allegorized;allegorizeds;is allegorizedding:V
alliterated;alliterateds;is alliteratedding:V
allowanced;allowanceds;is allowancedding:V
allured;allureds;is alluredding:V
alternated;alternateds;is alternatedding:V
amalgamated;amalgamateds;is amalgamatedding:V
amazed;amazeds;is amazedding:V
ambled;ambleds;is ambledding:V
ambuscaded;ambuscadeds;is ambuscadedding:V
ammoniated;ammoniateds;is ammoniatedding:V
ammonified;ammonifieds;is ammonifiedding:V
ammonolyzed;ammonolyzeds;is ammonolyzedding:V
amplified;amplifieds;is amplifiedding:V
analogized;analogizeds;is analogizedding:V
anathematized;anathematizeds;is anathematizedding:V
angled;angleds;is angledding:V
annotated;annotateds;is annotatedding:V
announced;announceds;is announcedding:V
antagonized;antagonizeds;is antagonizedding:V
antedated;antedateds;is antedatedding:V
anted;anteds;is antedding:V
anteed;anteeds;is anteedding:V
anthologized;anthologizeds;is anthologizedding:V
aped;apeds;is apedding:V
apostrophized;apostrophizeds;is apostrophizedding:V
appareled;appareleds;is appareledding:V
apparelled;apparelleds;is apparelledding:V
appreciated;appreciateds;is appreciatedding:V
apprenticed;apprenticeds;is apprenticedding:V
appropriated;appropriateds;is appropriatedding:V
approved;approveds;is approvedding:V
approximated;approximateds;is approximatedding:V
aquaplaned;aquaplaneds;is aquaplanedding:V
arbitrated;arbitrateds;is arbitratedding:V
arcaded;arcadeds;is arcadedding:V
arced;arceds;is arcedding:V
archaized;archaizeds;is archaizedding:V
arglebargled;arglebargleds;is arglebargledding:V
argued;argueds;is arguedding:V
aroused;arouseds;is arousedding:V
arranged;arrangeds;is arrangedding:V
arrived;arriveds;is arrivedding:V
articled;articleds;is articledding:V
articulated;articulateds;is articulatedding:V
asphyxiated;asphyxiateds;is asphyxiatedding:V
aspirated;aspirateds;is aspiratedding:V
assembled;assembleds;is assembledding:V
assibilated;assibilateds;is assibilatedding:V
assimilated;assimilateds;is assimilatedding:V
associated;associateds;is associatedding:V
atoned;atoneds;is atonedding:V
attenuated;attenuateds;is attenuatedding:V
Atticized;Atticizeds;is Atticizedding:V
attributed;attributeds;is attributedding:V
attrited;attriteds;is attritedding:V
auspicated;auspicateds;is auspicatedding:V
autoclaved;autoclaveds;is autoclavedding:V
autolyzed;autolyzeds;is autolyzedding:V
automated;automateds;is automatedding:V
autotomized;autotomizeds;is autotomizedding:V
avalanched;avalancheds;is avalanchedding:V
avenged;avengeds;is avengedding:V
averaged;averageds;is averagedding:V
awaked;awakeds;is awakedding:V
awed;aweds;is awedding:V
axed;axeds;is axedding:V
baaed;baaeds;is baaedding:V
babbled;babbleds;is babbledding:V
back-lighted;back-lighteds;is back-lightedding:V
backfired;backfireds;is backfiredding:V
backlogged;backloggeds;is backloggedding:V
backspaced;backspaceds;is backspacedding:V
backspliced;backspliceds;is backsplicedding:V
backstopped;backstoppeds;is backstoppedding:V
baffled;baffleds;is baffledding:V
bagged;baggeds;is baggedding:V
bagpiped;bagpipeds;is bagpipedding:V
baled;baleds;is baledding:V
balloted;balloteds;is ballotedding:V
baptized;baptizeds;is baptizedding:V
bedded;beddeds;is beddedding:V
bed;beds;is bedding:V
beetled;beetleds;is beetledding:V
begged;beggeds;is beggedding:V
behaved;behaveds;is behavedding:V
behooved;behooveds;is behoovedding:V
bellied;bellieds;is belliedding:V
bended;bendeds;is bendedding:V
betided;betideds;is betidedding:V
betted;betteds;is bettedding:V
bewared;bewareds;is bewaredding:V
bibbed;bibbeds;is bibbedding:V
bifurcated;bifurcateds;is bifurcatedding:V
biked;bikeds;is bikedding:V
blared;blareds;is blaredding:V
blarneyed;blarneyeds;is blarneyedding:V
blazed;blazeds;is blazedding:V
bleed;bleeds;is bleedding:V
bloodied;bloodieds;is bloodiedding:V
bloused;blouseds;is blousedding:V
blued;blueds;is bluedding:V
bobbled;bobbleds;is bobbledding:V
boded;bodeds;is bodedding:V
boned;boneds;is bonedding:V
boodled;boodleds;is boodledding:V
boozed;boozeds;is boozedding:V
bopped;boppeds;is boppedding:V
bored;boreds;is boredding:V
bottle-feed;bottle-feeds;is bottle-feedding:V
brabbled;brabbleds;is brabbledding:V
Brailled;Brailleds;is Brailledding:V
breast-feed;breast-feeds;is breast-feedding:V
bred;breds;is bredding:V
breed;breeds;is breedding:V
bribed;bribeds;is bribedding:V
bridged;bridgeds;is bridgedding:V
bristled;bristleds;is bristledding:V
browsed;browseds;is browsedding:V
bruised;bruiseds;is bruisedding:V
bubbled;bubbleds;is bubbledding:V
bulged;bulgeds;is bulgedding:V
bumbled;bumbleds;is bumbledding:V
burlesqued;burlesqueds;is burlesquedding:V
cabbaged;cabbageds;is cabbagedding:V
cabled;cableds;is cabledding:V
cadged;cadgeds;is cadgedding:V
carbonated;carbonateds;is carbonatedding:V
cared;careds;is caredding:V
carried;carrieds;is carriedding:V
carved;carveds;is carvedding:V
cased;caseds;is casedding:V
casseroled;casseroleds;is casseroledding:V
catalogued;catalogueds;is cataloguedding:V
centupled;centupleds;is centupledding:V
centuplicated;centuplicateds;is centuplicatedding:V
chased;chaseds;is chasedding:V
chimed;chimeds;is chimedding:V
chored;choreds;is choredding:V
chuted;chuteds;is chutedding:V
circulated;circulateds;is circulatedding:V
cling;clings;is clinging:V
