abate;abates;is abateing:V
abdicate;abdicates;is abdicateing:V
abet;abets;is abetting:V
abhor;abhors;is abhoring:V
abide;abides;is abideing:V
abode;abodes;is abodeing:V
abort;aborts;is abortting:V
abought;aboughts;is aboughtting:V
about-ship;about-ships;is about-shiping:V
abscise;abscises;is absciseing:V
absent;absents;is absentting:V
abstract;abstracts;is abstractting:V
abuse;abuses;is abuseing:V
abut;abuts;is abutting:V
aby;abys;is abying:V
accelerate;accelerates;is accelerateing:V
accent;accents;is accentting:V
accept;accepts;is acceptting:V
acclimatize;acclimatizes;is acclimatizeing:V
accompany;accompanys;is accompanying:V
accord;accords;is accordding:V
accrete;accretes;is accreteing:V
accrue;accrues;is accrueing:V
accumulate;accumulates;is accumulateing:V
accuse;accuses;is accuseing:V
acetify;acetifys;is acetifying:V
achieve;achieves;is achieveing:V
acidify;acidifys;is acidifying:V
acidulate;acidulates;is acidulateing:V
acquit;acquits;is acquitting:V
act out;act outs;is act outting:V
acuminate;acuminates;is acuminateing:V
ad-lib;ad-libs;is ad-libing:V
adapt;adapts;is adaptting:V
add up;add ups;is add uping:V
addict;addicts;is addictting:V
addle;addles;is addleing:V
address;addresss;is addressing:V
addrest;addrests;is addrestting:V
add;adds;is addding:V
adjoin;adjoins;is adjoinning:V
adjudicate;adjudicates;is adjudicateing:V
admeasure;admeasures;is admeasureing:V
administer;administers;is administering:V
administrate;administrates;is administrateing:V
admit;admits;is admitting:V
adsorb;adsorbs;is adsorbing:V
adulterate;adulterates;is adulterateing:V
advance;advances;is advanceing:V
adventure;adventures;is adventureing:V
advertise;advertises;is advertiseing:V
advise;advises;is adviseing:V
advocate;advocates;is advocateing:V
aerify;aerifys;is aerifying:V
affect;affects;is affectting:V
affiliate;affiliates;is affiliateing:V
affirm;affirms;is affirmming:V
affix;affixs;is affixing:V
afford;affords;is affordding:V
age;ages;is ageing:V
agglomerate;agglomerates;is agglomerateing:V
agglutinate;agglutinates;is agglutinateing:V
aggregate;aggregates;is aggregateing:V
agonize;agonizes;is agonizeing:V
agree;agrees;is agreeing:V
aid;aids;is aidding:V
aim;aims;is aimming:V
air-dry;air-drys;is air-drying:V
airdrop;airdrops;is airdroping:V
air;airs;is airing:V
align;aligns;is alignning:V
aliment;aliments;is alimentting:V
aline;alines;is alineing:V
alit;alits;is alitting:V
alkalify;alkalifys;is alkalifying:V
allay;allays;is allaying:V
allegorize;allegorizes;is allegorizeing:V
alliterate;alliterates;is alliterateing:V
allot;allots;is allotting:V
alloy;alloys;is alloying:V
ally;allys;is allying:V
alternate;alternates;is alternateing:V
alter;alters;is altering:V
amalgamate;amalgamates;is amalgamateing:V
ambuscade;ambuscades;is ambuscadeing:V
ambush;ambushs;is ambushing:V
ameliorate;ameliorates;is ameliorateing:V
Americanize;Americanizes;is Americanizeing:V
ammoniate;ammoniates;is ammoniateing:V
ammonify;ammonifys;is ammonifying:V
amnesty;amnestys;is amnestying:V
amplify;amplifys;is amplifying:V
amputate;amputates;is amputateing:V
am;ams;is amming:V
anagrammatize;anagrammatizes;is anagrammatizeing:V
anastomose;anastomoses;is anastomoseing:V
anathematize;anathematizes;is anathematizeing:V
anchor;anchors;is anchoring:V
anchylose;anchyloses;is anchyloseing:V
angle;angles;is angleing:V
anglicize;anglicizes;is anglicizeing:V
anguish;anguishs;is anguishing:V
angulate;angulates;is angulateing:V
animate;animates;is animateing:V
